2020-02-17/17:44:56		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/15:30:44		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/15:30:45		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/15:42:47		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/15:42:48		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/15:42:48		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/15:42:49		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/15:42:50		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/15:42:51		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/15:48:09		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/15:48:10		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/15:48:11		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/15:48:12		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/15:48:13		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/15:48:13		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/15:51:37		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/15:51:38		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/15:51:39		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/15:51:39		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/15:51:40		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/15:51:41		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/15:55:49		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/15:55:50		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/15:55:50		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/15:55:51		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/15:55:52		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/15:55:53		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/16:12:06		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:12:07		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/16:12:07		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/16:12:08		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/16:12:09		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/16:12:10		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/16:26:30		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:26:31		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/16:26:32		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/16:26:32		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/16:26:33		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/16:26:34		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/16:30:37		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:30:38		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/16:30:38		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/16:30:39		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/16:30:40		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/16:30:41		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/16:31:57		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:31:58		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/16:31:59		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/16:32:00		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/16:32:01		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/16:32:01		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/16:33:05		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:33:06		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/16:33:07		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/16:33:08		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/16:33:10		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/16:33:10		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/16:35:05		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:35:06		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-13/16:35:06		 forest_cover_28011992_120212.csv: Quotes added successfully!!
2021-10-13/16:35:07		 forest_cover_28011993_120213.csv: Quotes added successfully!!
2021-10-13/16:35:08		 forest_cover_28011994_120214.csv: Quotes added successfully!!
2021-10-13/16:35:09		 forest_cover_28011995_120215.csv: Quotes added successfully!!
2021-10-13/16:45:19		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:45:20		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/16:56:35		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/17:03:24		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/17:12:00		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/17:28:15		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/17:31:21		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/17:33:54		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/17:40:34		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/17:59:00		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-13/18:00:27		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/13:54:54		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/13:58:03		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/14:05:21		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/14:15:42		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/14:18:06		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/14:29:45		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/14:32:10		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-18/14:38:26		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:03:39		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:03:39		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:07:06		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:07:06		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:11:19		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:11:19		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:15:29		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:15:30		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:26:10		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:26:10		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:28:54		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:28:54		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:32:45		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:32:45		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:36:03		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:36:03		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:46:03		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:46:03		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-10-31/12:51:49		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-10-31/12:51:49		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-01/18:24:34		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/13:39:33		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/13:39:33		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/13:57:05		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/13:57:05		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:03:13		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:03:13		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:05:38		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:05:38		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:08:59		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:08:59		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:13:25		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:13:25		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:31:11		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:31:11		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:33:21		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:33:21		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:39:56		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:39:56		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:50:58		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:50:59		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:55:25		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:55:25		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-03/14:59:46		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-03/14:59:46		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/10:33:54		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-04/10:33:54		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/10:40:54		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-04/10:40:54		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/10:47:20		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-04/10:47:20		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/10:51:31		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-04/10:51:31		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/11:01:23		 forest_cover_28011990_120210.csv: Quotes added successfully!!
2021-11-04/11:01:23		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/12:23:56		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/12:53:17		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:02:46		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:02:46		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:09:51		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:09:51		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:18:42		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:18:42		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:21:13		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:21:13		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:26:02		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:26:02		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:28:40		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:28:40		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:31:57		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:31:57		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:34:44		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:34:44		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:43:16		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:43:16		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:46:01		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:46:01		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/13:49:37		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/13:49:37		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/14:01:42		 forest_cover_28011991_120211.csv: Quotes added successfully!!
2021-11-04/14:01:42		 forest_cover_28011991_120212.csv: Quotes added successfully!!
2021-11-04/14:01:42		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/14:06:26		 forest_cover_28011991_120212.csv: Quotes added successfully!!
2021-11-04/14:06:26		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/14:16:28		 forest_cover_28011991_120212.csv: Quotes added successfully!!
2021-11-04/14:16:28		 forest_cover_28011991_120213.csv: Quotes added successfully!!
2021-11-04/14:27:11		 forest_cover_28011991_120212.csv: Quotes added successfully!!
2021-11-04/14:27:11		 forest_cover_28011991_120213.csv: Quotes added successfully!!
